codigo_uni,nombre,genero,edad,ciclo_academico,condicion_socioeconomica,nombre_carrera,facultad,area_academica,fecha_registro,puntaje_estres,inasistencias_lms,indice_sentimiento,asistencia_cita_flag,nota_promedio
20240001,Juan Frias,M,22,IV,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-17,97,30,-0.97,0,8.9
20240002,Silvia Peña,F,18,IX,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-15,27,0,0.76,0,15.0
20240003,Carmen Herrera,F,23,II,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-07,32,4,0.26,0,14.3
20240004,Valeria Soto,F,19,IX,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-06,63,6,-0.3,0,13.7
20240005,Angel Antunez,M,24,V,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-11,23,5,0.27,0,19.6
20240006,Gianpierre Mora,M,21,III,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-18,50,5,0.56,0,18.1
20240007,Diego Ruiz,M,23,VII,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-14,46,5,0.31,0,17.9
20240008,Hector Vasquez,M,22,III,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-17,47,3,0.36,0,20.0
20240009,Laura Torres,F,19,III,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-20,48,0,0.38,0,17.6
20240010,Gabriela Perez,F,19,IX,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-08,66,9,-0.69,1,13.5
20240011,Alejandro Sanchez,M,26,II,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-23,48,1,0.15,0,18.6
20240012,Simon Perez,M,23,VIII,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-29,29,1,0.06,0,19.3
20240013,Isabella Lopez,F,26,III,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-06-30,26,4,0.87,0,16.5
20240014,Nicolas Caro,M,21,V,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-29,38,0,0.25,1,14.4
20240015,Sebastian Flores,M,18,II,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-15,86,23,-0.98,1,8.1
20240016,Rosa Tello,F,25,IV,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-13,96,26,-0.89,0,8.8
20240017,Emilio Antunez,M,18,VII,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-21,25,1,0.19,0,16.7
20240018,Silvia Lopez,F,25,IX,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-11,10,0,0.93,0,19.1
